epoch,train_loss,train_top1,test_top1,best_top1,closest_top1,learning_rate,epoch_seconds,elapsed_seconds
126,0.28653159,88.961694,73.772791,76.718093,76.718093,0.0629409523,5.008348,618.966130
127,0.29396390,88.835685,74.380552,76.718093,76.718093,0.0624344944,4.967710,623.983950
128,0.26200925,89.667339,71.528752,76.718093,76.718093,0.0619266729,4.884353,628.911022
129,0.24688166,90.877016,58.719028,76.718093,76.718093,0.0614175435,4.818043,633.756546
130,0.27414657,89.465726,63.020103,76.718093,76.718093,0.0609071621,4.856543,638.653086
131,0.26288650,90.272177,61.804582,76.718093,76.718093,0.0603955845,4.895935,643.594106
132,0.25488081,90.549395,66.900421,76.718093,76.718093,0.0598828670,4.924781,648.550327
133,0.23904930,90.751008,56.428237,76.718093,76.718093,0.0593690657,4.989405,653.582300
134,0.23970771,90.977823,71.248247,76.718093,76.718093,0.0588542370,4.796652,658.429361
135,0.24401166,90.448589,67.975690,76.718093,76.718093,0.0583384373,4.852827,663.325211
136,0.24002518,90.877016,71.902758,76.718093,76.718093,0.0578217233,5.154659,668.521380
137,0.25139016,90.448589,65.310893,76.718093,76.718093,0.0573041514,4.965998,673.540899
138,0.23642483,91.355847,68.489949,76.718093,76.718093,0.0567857786,4.753730,678.325966
139,0.24332125,90.977823,59.654044,76.718093,76.718093,0.0562666617,4.892924,683.262300
140,0.20878382,92.137097,74.894811,76.718093,76.718093,0.0557468575,4.985846,688.286498
141,0.21818982,91.532258,53.669939,76.718093,76.718093,0.0552264232,4.909088,693.228208
142,0.21270496,92.237903,68.863955,76.718093,76.718093,0.0547054157,5.002416,698.272674
143,0.21384485,91.859879,61.243572,76.718093,76.718093,0.0541838922,4.790926,703.110612
144,0.23473983,90.725806,64.890136,76.718093,76.718093,0.0536619099,4.876899,708.029453
145,0.20852380,92.011089,55.072464,76.718093,76.718093,0.0531395260,4.934154,713.001715
146,0.19488460,92.918347,69.658719,76.718093,76.718093,0.0526167978,4.899707,717.942448
147,0.21013562,92.187500,68.396447,76.718093,76.718093,0.0520937827,4.841500,722.824428
148,0.19433636,92.666331,73.305283,76.718093,76.718093,0.0515705380,4.795712,727.681846
149,0.17348146,93.523185,72.837775,76.718093,76.718093,0.0510471210,4.889253,732.618058
150,0.16581735,93.951613,57.410005,76.718093,76.718093,0.0505235892,5.006498,737.668056
151,0.18096954,93.119960,71.201496,76.718093,76.718093,0.0500000000,5.046440,742.774005
152,0.18890380,92.716734,69.237962,76.718093,76.718093,0.0494764108,4.818460,747.620640
153,0.16059888,94.203629,62.459093,76.718093,76.718093,0.0489528790,4.830468,752.493845
154,0.18587988,93.220766,65.544647,76.718093,76.718093,0.0484294620,4.799408,757.336383
155,0.16586151,93.724798,73.445535,76.718093,76.718093,0.0479062173,4.999577,762.371434
156,0.15455225,94.304435,64.142122,76.718093,76.718093,0.0473832022,4.742755,767.166936
157,0.16310329,94.052419,69.237962,76.718093,76.718093,0.0468604740,4.843188,772.063894
158,0.16504237,93.825605,71.715755,76.718093,76.718093,0.0463380901,4.902856,777.008882
