epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
118,2.66227769,33.796074,50.630000,51.530000,51.530000,0.0669368960,8.538167,1036.816258
119,2.66657125,33.735978,49.670000,51.530000,51.530000,0.0664433323,8.812721,1045.659637
120,2.65402570,33.836138,50.720000,51.530000,51.530000,0.0659479655,8.666314,1054.368599
121,2.65975108,34.034455,49.280000,51.530000,51.530000,0.0654508497,8.579621,1062.977345
122,2.65856981,33.940304,51.030000,51.530000,51.530000,0.0649520396,8.925533,1071.932127
123,2.65900688,33.914263,49.580000,51.530000,51.530000,0.0644515898,9.009035,1080.973029
124,2.65999051,34.152644,48.710000,51.530000,51.530000,0.0639495553,8.857774,1089.874388
125,2.66154873,33.946314,49.400000,51.530000,51.530000,0.0634459910,8.990551,1098.896206
126,2.63695669,34.377003,45.810000,51.530000,51.530000,0.0629409523,8.899625,1107.838185
127,2.65831006,33.988381,50.870000,51.530000,51.530000,0.0624344944,9.038933,1116.906576
128,2.64387534,34.150641,50.720000,51.530000,51.530000,0.0619266729,8.950269,1125.886046
129,2.63919516,34.417067,50.530000,51.530000,51.530000,0.0614175435,8.789793,1134.707273
130,2.63165064,34.453125,51.840000,51.840000,51.840000,0.0609071621,8.848832,1143.590131
131,2.63390637,34.399038,49.780000,51.840000,51.840000,0.0603955845,9.014208,1152.688408
132,2.61691509,35.022035,52.890000,52.890000,52.890000,0.0598828670,8.963537,1161.686818
133,2.63090181,34.413061,50.650000,52.890000,52.890000,0.0593690657,8.725858,1170.525582
134,2.61994705,34.889824,51.230000,52.890000,52.890000,0.0588542370,8.799523,1179.354574
135,2.60396481,35.084135,52.070000,52.890000,52.890000,0.0583384373,8.931904,1188.315784
136,2.62321512,34.801683,51.540000,52.890000,52.890000,0.0578217233,8.782149,1197.142100
137,2.60680276,35.094151,53.470000,53.470000,53.470000,0.0573041514,9.017186,1206.204066
138,2.59306302,35.406651,49.830000,53.470000,53.470000,0.0567857786,8.752167,1215.040617
139,2.58355380,35.394631,52.260000,53.470000,53.470000,0.0562666617,8.977648,1224.062284
140,2.60605847,35.282452,50.100000,53.470000,53.470000,0.0557468575,8.800161,1232.894266
141,2.58062191,35.542869,51.870000,53.470000,53.470000,0.0552264232,8.798036,1241.734527
142,2.58265291,35.402644,53.440000,53.470000,53.470000,0.0547054157,8.752879,1250.516664
143,2.57566008,35.482772,51.530000,53.470000,53.470000,0.0541838922,8.865530,1259.411196
144,2.57072048,35.973558,53.270000,53.470000,53.470000,0.0536619099,8.909326,1268.364245
145,2.57046785,35.813301,48.830000,53.470000,53.470000,0.0531395260,8.819545,1277.217414
146,2.57459792,35.649038,51.910000,53.470000,53.470000,0.0526167978,8.779194,1286.026319
147,2.57402423,35.554888,54.370000,54.370000,54.370000,0.0520937827,8.679064,1294.732942
148,2.55799404,35.977564,53.960000,54.370000,54.370000,0.0515705380,8.990756,1303.824581
149,2.54576476,36.330128,53.930000,54.370000,54.370000,0.0510471210,8.912197,1312.766223
